image_file,DOCUMENT_TYPE,SUPPLIER,ABN,PAYER_NAME,PAYER_ADDRESS,PAYER_PHONE,PAYER_EMAIL,INVOICE_DATE,DUE_DATE,GST,TOTAL,SUBTOTAL,QUANTITIES,PRICES,BUSINESS_ADDRESS,BUSINESS_PHONE,SUPPLIER_WEBSITE,BANK_NAME,BSB_NUMBER,BANK_ACCOUNT_NUMBER,ACCOUNT_HOLDER,STATEMENT_PERIOD,OPENING_BALANCE,CLOSING_BALANCE,DESCRIPTIONS
synthetic_invoice_001.png,TAX INVOICE,Rydges Hotels,04 904 754 234,Sophie Martin,"501 Charlotte Street, Canberra ACT 2600",(66) 4744 4248,N/A,04/08/2025,05/09/2025,$5.33,$58.62,$53.29,3 | 3 | 3 | 1,$3.80 | $8.50 | $4.20 | $3.79,"396 Flinders Street, Adelaide SA 5000",(61) 4645 4054,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_002.png,TAX INVOICE,Hilton Hotels,31 724 023 407,Emily Thompson,"46 King Street, Adelaide SA 5000",(69) 1205 7612,N/A,01/08/2025,05/09/2025,$8.86,$97.42,$88.56,3 | 1 | 3 | 3 | 3 | 2,$3.20 | $3.20 | $3.42 | $4.80 | $12.90 | $6.20,"561 Flinders Street, Perth WA 6000",(45) 7214 5884,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_003.png,TAX INVOICE,EY Australia,73 553 957 027,Ava Rodriguez,"430 Pitt Street, Brisbane QLD 4000",(22) 1473 6412,N/A,16/07/2025,05/09/2025,$0.99,$10.89,$9.90,1 | 2,$4.90 | $2.50,"910 Pitt Street, Adelaide SA 5000",(78) 9647 9117,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_004.png,RECEIPT,Liberty Oil,06 082 698 025,Robert Taylor,"243 Adelaide Street, Perth WA 6000",(99) 1414 6734,robert.taylor@yahoo.com.au,05/08/2025,N/A,$8.62,$94.87,$86.25,3 | 1 | 1 | 2 | 3,$15.00 | $4.50 | $1.65 | $15.00 | $1.70,"481 Bourke Street, Perth WA 6000",(38) 4482 2347,libertyoil.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_005.png,RECEIPT,Ampol Limited,29 466 483 258,Sophie Martin,"467 Collins Street, Hobart TAS 7000",(87) 3616 7911,sophie.martin@hotmail.com,18/07/2025,N/A,$5.20,$57.15,$51.95,1 | 1 | 2 | 2 | 2 | 2,$4.20 | $1.75 | $4.50 | $1.75 | $15.00 | $1.75,"680 Collins Street, Darwin NT 0800",(92) 7677 3830,ampol.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_006.png,BANK STATEMENT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Commonwealth Bank,063 140,4577691,Sophie Martin,07/07/2025 to 06/08/2025,$13655.47,$14016.04,INTEREST PAYMENT | ONLINE TRANSFER | ATM WITHDRAWAL
synthetic_invoice_007.png,RECEIPT,Liberty Oil,66 658 925 499,William Harris,"52 Bourke Street, Darwin NT 0800",(84) 9515 3158,william.harris@hotmail.com,19/07/2025,N/A,$1.01,$11.11,$10.10,1 | 2 | 3,$1.75 | $1.70 | $1.65,"993 Pitt Street, Darwin NT 0800",(62) 9953 4315,libertyoil.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_008.png,BANK STATEMENT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Suncorp Bank,703 123,892069256,Michael Brown,07/07/2025 to 06/08/2025,$34980.66,$35686.28,ATM WITHDRAWAL | DIRECT DEBIT UTILITIES | EFTPOS PURCHASE | REFUND PROCESSED
synthetic_invoice_009.png,BANK STATEMENT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,National Australia Bank,083004,970590,Olivia White,07/07/2025 to 06/08/2025,$33162.83,$34539.69,ONLINE TRANSFER | FEE CHARGED | DIRECT CREDIT SALARY | EFTPOS PURCHASE | INTEREST PAYMENT | ATM WITHDRAWAL
synthetic_invoice_010.png,TAX INVOICE,BDO Australia,40 613 105 682,Sarah Johnson,"178 William Street, Brisbane QLD 4000",(33) 1603 4563,N/A,19/07/2025,05/09/2025,$3.35,$36.85,$33.50,2 | 1 | 1 | 2,$3.20 | $2.50 | $6.80 | $8.90,"219 Pitt Street, Canberra ACT 2600",(69) 6596 7238,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
