image_file,DOCUMENT_TYPE,SUPPLIER,ABN,PAYER_NAME,PAYER_ADDRESS,PAYER_PHONE,PAYER_EMAIL,INVOICE_DATE,DUE_DATE,GST,TOTAL,SUBTOTAL,QUANTITIES,PRICES,BUSINESS_ADDRESS,BUSINESS_PHONE,SUPPLIER_WEBSITE,BANK_NAME,BSB_NUMBER,BANK_ACCOUNT_NUMBER,ACCOUNT_HOLDER,STATEMENT_PERIOD,OPENING_BALANCE,CLOSING_BALANCE,DESCRIPTIONS
synthetic_invoice_001.png,RECEIPT,ALDI Australia,74 878 226 893,David Miller,"174 George Street, Hobart TAS 7000",(38) 3468 4160,david.miller@bigpond.com,15/07/2025,29/08/2025,$4.24,$46.68,$42.44,1 | 3 | 3 | 2 | 3,$3.20 | $3.80 | $3.80 | $3.42 | $3.20,"131 Collins Street, Hobart TAS 7000",(25) 9993 1147,aldi.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_002.png,TAX INVOICE,Hyatt Hotels,27 723 972 399,Emily Thompson,"490 George Street, Adelaide SA 5000",(27) 5232 2500,emily.thompson@yahoo.com.au,26/07/2025,29/08/2025,$3.54,$38.98,$35.44,2 | 1 | 3 | 3,$4.53 | $4.90 | $3.20 | $3.96,"663 George Street, Perth WA 6000",(78) 3242 8318,hyatthotels.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_003.png,BANK STATEMENT,IGA,18 192 344 327,Robert Taylor,"607 William Street, Melbourne VIC 3000",(98) 3858 7274,robert.taylor@gmail.com,29/07/2025,29/08/2025,$2.12,$23.30,$21.18,1 | 3 | 2 | 1,$3.42 | $2.50 | $3.42 | $3.42,"394 Pitt Street, Canberra ACT 2600",(42) 7456 9769,iga.com.au,National Australia Bank,083 004,57968520,Sarah Johnson,30/06/2025 to 30/07/2025,$36060.93,$35673.29,DIRECT CREDIT SALARY | CARD PAYMENT | DIRECT DEBIT UTILITIES
synthetic_invoice_004.png,TAX INVOICE,Grant Thornton Australia,17 051 564 238,David Miller,"836 Bourke Street, Brisbane QLD 4000",(94) 6093 4895,david.miller@yahoo.com.au,03/07/2025,29/08/2025,$4.48,$49.26,$44.78,1 | 1 | 2 | 2 | 2,$3.80 | $8.90 | $6.80 | $4.71 | $4.53,"210 Pitt Street, Melbourne VIC 3000",(84) 6086 8801,grantthornton.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_005.png,RECEIPT,Liberty Oil,27 382 494 722,Daniel Garcia,"603 Adelaide Street, Perth WA 6000",(56) 9067 5128,daniel.garcia@yahoo.com.au,11/07/2025,29/08/2025,$1.18,$12.98,$11.80,2 | 2,$4.20 | $1.70,"755 Bourke Street, Brisbane QLD 4000",(93) 2852 4642,libertyoil.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_006.png,TAX INVOICE,Grant Thornton Australia,62 972 667 581,Emily Thompson,"918 Elizabeth Street, Brisbane QLD 4000",(59) 3873 1051,emily.thompson@hotmail.com,12/07/2025,29/08/2025,$3.02,$33.22,$30.20,1 | 1 | 2 | 2,$8.90 | $8.50 | $3.20 | $3.20,"183 Collins Street, Adelaide SA 5000",(89) 5548 3049,grantthornton.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_007.png,RECEIPT,BP Australia,77 479 078 255,Olivia White,"828 King Street, Darwin NT 0800",(67) 7308 4637,olivia.white@yahoo.com.au,18/07/2025,29/08/2025,$4.85,$53.30,$48.45,3 | 3 | 2,$1.65 | $4.50 | $15.00,"62 Collins Street, Sydney NSW 2000",(37) 9148 9901,bp.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_008.png,TAX INVOICE,BDO Australia,55 504 238 671,Daniel Garcia,"610 Pitt Street, Hobart TAS 7000",(51) 3698 8676,daniel.garcia@outlook.com,23/07/2025,29/08/2025,$1.92,$21.15,$19.23,2 | 1 | 1,$4.90 | $4.90 | $4.53,"581 Flinders Street, Darwin NT 0800",(36) 8639 5575,bdo.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_009.png,TAX INVOICE,EY Australia,98 244 618 361,Emma Wilson,"861 King Street, Adelaide SA 5000",(47) 2476 4255,emma.wilson@gmail.com,16/07/2025,29/08/2025,$7.18,$78.94,$71.76,3 | 3 | 2 | 2 | 2 | 3,$3.96 | $3.20 | $4.20 | $3.79 | $3.80 | $8.90,"876 Bourke Street, Darwin NT 0800",(65) 5917 4685,ey.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_010.png,BANK STATEMENT,Dan Murphy's,48 423 176 314,Isabella Lee,"694 Elizabeth Street, Sydney NSW 2000",(75) 5956 8997,isabella.lee@outlook.com,15/07/2025,29/08/2025,$5.28,$58.12,$52.84,3 | 2 | 3 | 2,$8.50 | $4.53 | $3.96 | $3.20,"89 George Street, Melbourne VIC 3000",(73) 4943 9269,danmurphy's.com.au,Commonwealth Bank,062 692,300461123,David Miller,30/06/2025 to 30/07/2025,$16645.84,$16631.14,FEE CHARGED | DEPOSIT | DIRECT DEBIT UTILITIES | EFTPOS PURCHASE | ONLINE TRANSFER | REFUND PROCESSED
synthetic_invoice_011.png,RECEIPT,United Petroleum,35 884 398 876,Emma Wilson,"671 Collins Street, Darwin NT 0800",(75) 9031 7830,emma.wilson@yahoo.com.au,07/07/2025,29/08/2025,$1.54,$16.89,$15.35,1 | 1 | 1 | 3,$4.20 | $4.20 | $1.70 | $1.75,"876 Bourke Street, Canberra ACT 2600",(29) 2336 9109,unitedpetroleum.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_012.png,RECEIPT,Chemist Warehouse,42 000 260 709,William Harris,"512 Pitt Street, Melbourne VIC 3000",(37) 7490 7818,william.harris@gmail.com,14/07/2025,29/08/2025,$2.88,$31.68,$28.80,2 | 3,$4.20 | $6.80,"519 Collins Street, Brisbane QLD 4000",(76) 2130 1290,chemistwarehouse.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_013.png,RECEIPT,United Petroleum,26 401 164 772,John Smith,"987 Queen Street, Darwin NT 0800",(28) 6599 1551,john.smith@outlook.com,13/07/2025,29/08/2025,$9.25,$101.75,$92.50,2 | 3 | 2 | 3 | 2,$4.50 | $1.70 | $15.00 | $15.00 | $1.70,"441 Collins Street, Adelaide SA 5000",(74) 1481 1807,unitedpetroleum.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_014.png,TAX INVOICE,Hyatt Hotels,31 217 193 004,Jessica Davis,"192 Collins Street, Darwin NT 0800",(64) 9694 8691,jessica.davis@yahoo.com.au,01/07/2025,29/08/2025,$2.85,$31.33,$28.48,1 | 3 | 1 | 1,$4.80 | $3.96 | $8.90 | $2.90,"363 Pitt Street, Perth WA 6000",(28) 5236 8924,hyatthotels.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_015.png,RECEIPT,Officeworks,12 953 872 644,Ava Rodriguez,"244 George Street, Sydney NSW 2000",(49) 7059 4889,ava.rodriguez@hotmail.com,23/07/2025,29/08/2025,$5.10,$56.13,$51.03,2 | 3 | 2 | 2,$3.42 | $4.53 | $8.50 | $6.80,"244 Bourke Street, Sydney NSW 2000",(51) 3292 5929,officeworks.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_016.png,RECEIPT,Mobil Australia,51 709 551 326,Ava Rodriguez,"23 Bourke Street, Darwin NT 0800",(32) 4942 3796,ava.rodriguez@yahoo.com.au,20/07/2025,29/08/2025,$10.91,$119.96,$109.05,2 | 3 | 3 | 2 | 3 | 1,$1.65 | $15.00 | $15.00 | $4.50 | $1.70 | $1.65,"862 Pitt Street, Sydney NSW 2000",(51) 8051 6421,mobil.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
