image_name,overall_accuracy,correct_fields,total_fields,field_accuracy_rate,ABN_accuracy,ABN_extracted,ABN_ground_truth,ACCOUNT_HOLDER_accuracy,ACCOUNT_HOLDER_extracted,ACCOUNT_HOLDER_ground_truth,BANK_ACCOUNT_NUMBER_accuracy,BANK_ACCOUNT_NUMBER_extracted,BANK_ACCOUNT_NUMBER_ground_truth,BANK_NAME_accuracy,BANK_NAME_extracted,BANK_NAME_ground_truth,BSB_NUMBER_accuracy,BSB_NUMBER_extracted,BSB_NUMBER_ground_truth,BUSINESS_ADDRESS_accuracy,BUSINESS_ADDRESS_extracted,BUSINESS_ADDRESS_ground_truth,BUSINESS_PHONE_accuracy,BUSINESS_PHONE_extracted,BUSINESS_PHONE_ground_truth,CLOSING_BALANCE_accuracy,CLOSING_BALANCE_extracted,CLOSING_BALANCE_ground_truth,DESCRIPTIONS_accuracy,DESCRIPTIONS_extracted,DESCRIPTIONS_ground_truth,DOCUMENT_TYPE_accuracy,DOCUMENT_TYPE_extracted,DOCUMENT_TYPE_ground_truth,DUE_DATE_accuracy,DUE_DATE_extracted,DUE_DATE_ground_truth,GST_accuracy,GST_extracted,GST_ground_truth,INVOICE_DATE_accuracy,INVOICE_DATE_extracted,INVOICE_DATE_ground_truth,OPENING_BALANCE_accuracy,OPENING_BALANCE_extracted,OPENING_BALANCE_ground_truth,PAYER_ADDRESS_accuracy,PAYER_ADDRESS_extracted,PAYER_ADDRESS_ground_truth,PAYER_EMAIL_accuracy,PAYER_EMAIL_extracted,PAYER_EMAIL_ground_truth,PAYER_NAME_accuracy,PAYER_NAME_extracted,PAYER_NAME_ground_truth,PAYER_PHONE_accuracy,PAYER_PHONE_extracted,PAYER_PHONE_ground_truth,PRICES_accuracy,PRICES_extracted,PRICES_ground_truth,QUANTITIES_accuracy,QUANTITIES_extracted,QUANTITIES_ground_truth,STATEMENT_PERIOD_accuracy,STATEMENT_PERIOD_extracted,STATEMENT_PERIOD_ground_truth,SUBTOTAL_accuracy,SUBTOTAL_extracted,SUBTOTAL_ground_truth,SUPPLIER_accuracy,SUPPLIER_extracted,SUPPLIER_ground_truth,SUPPLIER_WEBSITE_accuracy,SUPPLIER_WEBSITE_extracted,SUPPLIER_WEBSITE_ground_truth,TOTAL_accuracy,TOTAL_extracted,TOTAL_ground_truth
synthetic_invoice_001.png,0.312,7,25,28.000000000000004,1.0,04 904 754 234,04 904 754 234,0.0,nan,N/A,0.0,1288570416.0,N/A,0.0,nan,N/A,0.0,nan,N/A,1.0,"396 Flinders Street, Adelaide SA 5000","396 Flinders Street, Adelaide SA 5000",0.0,(61) 4744 4224,(61) 4645 4054,0.0,nan,N/A,0.0,"Rice 1kg, Cheese Block 500g, Frozen Peas 1kg, Dishwashing Liquid (500ml)",N/A,0.8,INVOICE,TAX INVOICE,1.0,05/09/2025,05/09/2025,0.0,nan,$5.33,1.0,04/08/2025,04/08/2025,0.0,nan,N/A,0.0,"396 Flinders Street, Adelaide SA 5000","501 Charlotte Street, Canberra ACT 2600",0.0,nan,N/A,0.0,Bill To,Sophie Martin,0.0,(61) 46645 4054,(66) 4744 4248,0.0,"$3.80, $8.50, $4.20, $3.79",$3.80 | $8.50 | $4.20 | $3.79,0.0,"3, 3, 3, 1",3 | 3 | 3 | 1,0.0,nan,N/A,1.0,$53.29,$53.29,1.0,Rydges Hotels,Rydges Hotels,0.0,nan,N/A,1.0,$58.62,$58.62
synthetic_invoice_002.png,0.272,6,25,24.0,0.0,31 722 023 407,31 724 023 407,0.0,nan,N/A,0.0,3603376986.0,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,"46 King Street, Adelaide SA 5000","561 Flinders Street, Perth WA 6000",0.0,(69) 1205 7612,(45) 7214 5884,0.0,nan,N/A,0.0,"Onions 1kg, Onions 1kg, Bananas (kg), Milk 2L, Chicken Breast 1kg, Tomatoes 1kg",N/A,0.8,INVOICE,TAX INVOICE,1.0,05/09/2025,05/09/2025,1.0,$8.86,$8.86,1.0,01/08/2025,01/08/2025,0.0,nan,N/A,0.0,"561 Flinders Street, Perth WA 6000","46 King Street, Adelaide SA 5000",0.0,nan,N/A,0.0,Bill To,Emily Thompson,0.0,(45) 7214 5884,(69) 1205 7612,0.0,"$3.20, $3.20, $3.42, $4.80, $12.90, $6.20",$3.20 | $3.20 | $3.42 | $4.80 | $12.90 | $6.20,0.0,"3, 1, 3, 3, 3, 2",3 | 1 | 3 | 3 | 3 | 2,0.0,nan,N/A,1.0,$88.56,$88.56,1.0,Hilton Hotels,Hilton Hotels,0.0,nan,N/A,1.0,$97.42,$97.42
synthetic_invoice_003.png,0.312,7,25,28.000000000000004,1.0,73 553 957 027,73 553 957 027,0.0,nan,N/A,0.0,4194688.0,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,"430 Pitt Street, Brisbane QLD 4000","910 Pitt Street, Adelaide SA 5000",0.0,(22) 1473 6412,(78) 9647 9117,0.0,nan,N/A,0.0,nan,N/A,0.8,INVOICE,TAX INVOICE,1.0,05/09/2025,05/09/2025,1.0,$0.99,$0.99,1.0,16/07/2025,16/07/2025,0.0,nan,N/A,0.0,"910 Pitt Street, Adelaide SA 5000","430 Pitt Street, Brisbane QLD 4000",0.0,nan,N/A,0.0,Bill To,Ava Rodriguez,0.0,(78) 9647 9117,(22) 1473 6412,0.0,"$4.90, $2.50",$4.90 | $2.50,0.0,"1, 2",1 | 2,0.0,nan,N/A,1.0,$9.90,$9.90,1.0,EY Australia,EY Australia,0.0,nan,N/A,1.0,$10.89,$10.89
synthetic_invoice_004.png,0.52,13,25,52.0,1.0,06 082 698 025,06 082 698 025,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,1.0,"481 Bourke Street, Perth WA 6000","481 Bourke Street, Perth WA 6000",1.0,(38) 4482 2347,(38) 4482 2347,0.0,nan,N/A,0.0,"Car Wash, Coffee Large, Unleaded Petrol, Car Wash, Diesel",N/A,1.0,RECEIPT,RECEIPT,0.0,nan,N/A,1.0,$8.62,$8.62,1.0,05/08/2025,05/08/2025,0.0,nan,N/A,1.0,"243 Adelaide Street, Perth WA 6000","243 Adelaide Street, Perth WA 6000",1.0,robert.taylor@yahoo.com.au,robert.taylor@yahoo.com.au,1.0,Robert Taylor,Robert Taylor,1.0,(99) 1414 6734,(99) 1414 6734,0.0,"$15.00, $4.50, $4.50, $1.65, $15.00",$15.00 | $4.50 | $1.65 | $15.00 | $1.70,0.0,"3, 1, 1, 2, 3",3 | 1 | 1 | 2 | 3,0.0,nan,N/A,1.0,$86.25,$86.25,1.0,Liberty Oil,Liberty Oil,0.0,nan,libertyoil.com.au,1.0,$94.87,$94.87
synthetic_invoice_005.png,0.48,12,25,48.0,0.0,29 466 483  258,29 466 483 258,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,1.0,"680 Collins Street, Darwin NT 0800","680 Collins Street, Darwin NT 0800",1.0,(92) 7677 3830,(92) 7677 3830,0.0,nan,N/A,0.0,"Energy Drink, Premium Unleaded, Coffee Large, Premium Unleaded, Car Wash, Premium Unleaded",N/A,1.0,RECEIPT,RECEIPT,0.0,nan,N/A,1.0,$5.20,$5.20,1.0,18/07/2025,18/07/2025,0.0,nan,N/A,0.0,"467 Collins Street, Hobart TAS  000","467 Collins Street, Hobart TAS 7000",1.0,sophie.martin@hotmail.com,sophie.martin@hotmail.com,1.0,Sophie Martin,Sophie Martin,1.0,(87) 3616 7911,(87) 3616 7911,0.0,"$4.20, $1.75, $4.50, $1.75, $15.00",$4.20 | $1.75 | $4.50 | $1.75 | $15.00 | $1.75,0.0,"1, 1, 2, 2, 2",1 | 1 | 2 | 2 | 2 | 2,0.0,nan,N/A,1.0,$51.95,$51.95,1.0,Ampol Limited,Ampol Limited,1.0,ampol.com.au,ampol.com.au,1.0,$57.15,$57.15
synthetic_invoice_006.png,0.23199999999999998,5,25,20.0,0.0,nan,N/A,1.0,Sophie Martin,Sophie Martin,1.0,4577691.0,4577691.0,1.0,Commonwealth Bank,Commonwealth Bank,1.0,063 140,063 140,0.0,nan,N/A,0.0,nan,N/A,0.0,$16286.08,$14016.04,0.0,"ONLINE PURCHASE AMAZON AU, EFTPOS PURCHASE COLES EXP, DIRECT CREDIT SALARY, ATM WITHDRAWAL ANZ ATM, EFTPOS PURCHASE COLES EXP, INTEREST PAYMENT, ATM WITHDRAWAL ANZ ATM",INTEREST PAYMENT | ONLINE TRANSFER | ATM WITHDRAWAL,0.8,STATEMENT,BANK STATEMENT,0.0,nan,N/A,0.0,nan,N/A,0.0,07/07/2025 to 06/08/2025,N/A,0.0,$13367.44,$13655.47,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,1300 236 344,N/A,0.0,nan,N/A,0.0,nan,N/A,1.0,07/07/2025 to 06/08/2025,07/07/2025 to 06/08/2025,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A
synthetic_invoice_007.png,0.48,12,25,48.0,1.0,66 658 925 499,66 658 925 499,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,1.0,"993 Pitt Street, Darwin NT 0800","993 Pitt Street, Darwin NT 0800",0.0,(62)9953 4315,(62) 9953 4315,0.0,nan,N/A,0.0,"Premium Unleaded, Diesel, Unleaded Petrol",N/A,1.0,RECEIPT,RECEIPT,0.0,nan,N/A,1.0,$1.01,$1.01,1.0,19/07/2025,19/07/2025,0.0,nan,N/A,1.0,"52 Bourke Street, Darwin NT 0800","52 Bourke Street, Darwin NT 0800",1.0,william.harris@hotmail.com,william.harris@hotmail.com,1.0,William Harris,William Harris,0.0,(84)9515 3158,(84) 9515 3158,0.0,"$1.75, $1.70, $1.65",$1.75 | $1.70 | $1.65,0.0,"1, 2, 3",1 | 2 | 3,0.0,nan,N/A,1.0,$10.10,$10.10,1.0,Liberty Oil,Liberty Oil,1.0,libertyoil.com.au,libertyoil.com.au,1.0,$11.111,$11.11
synthetic_invoice_008.png,0.24,6,25,24.0,0.0,nan,N/A,1.0,Michael Brown,Michael Brown,1.0,892069256.0,892069256.0,1.0,Suncorp Bank,Suncorp Bank,1.0,703 123,703 123,0.0,nan,N/A,0.0,nan,N/A,0.0,$40986.34,$35686.28,0.0,"EFTPOS PURCHASE WOOLWORTH, REFUND PROCESSED, DIRECT CREDIT SALARY, INTEREST PAYMENT, EFTPOS PURCHASE WOOLWORTH, ONLINE PURCHASE NETFLIX, EFTPOS PURCHASE COLES EXP, REFUND PROCESSED",ATM WITHDRAWAL | DIRECT DEBIT UTILITIES | EFTPOS PURCHASE | REFUND PROCESSED,1.0,BANK STATEMENT,BANK STATEMENT,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,$34840.91,$34980.66,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,1300 236 344,N/A,0.0,"$139.75, $269.03, $147.39, $20.85, $52.49, $12.84",N/A,0.0,nan,N/A,1.0,07/07/2025 to 06/08/2025,07/07/2025 to 06/08/2025,0.0,$35109.94,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,$40986.34,N/A
synthetic_invoice_009.png,0.23199999999999998,5,25,20.0,0.0,nan,N/A,1.0,Olivia White,Olivia White,1.0,970590.0,970590.0,1.0,National Australia Bank,National Australia Bank,1.0,083004,083004,0.0,nan,N/A,0.0,nan,N/A,0.0,$48060.79,$34539.69,0.0,"DIRECT CREDIT SALARY, DIRECT CREDIT SALARY, EFTPOS PURCHASE WOOLWORTH, ONLINE PURCHASE NETFLIX, EFTPOS PURCHASE WOOLWORTH, DIRECT CREDIT SALARY, DIRECT CREDIT SALARY, TRANSFER CREDIT TAX REFUN",ONLINE TRANSFER | FEE CHARGED | DIRECT CREDIT SALARY | EFTPOS PURCHASE | INTEREST PAYMENT | ATM WITHDRAWAL,0.8,STATEMENT,BANK STATEMENT,0.0,06/08/2025,N/A,0.0,nan,N/A,0.0,03/05/2025,N/A,0.0,$35834.73,$33162.83,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,1300 236 344,N/A,0.0,nan,N/A,0.0,nan,N/A,1.0,07/07/2025 to 06/08/2025,07/07/2025 to 06/08/2025,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A
synthetic_invoice_010.png,0.312,7,25,28.000000000000004,1.0,40 613 105 682,40 613 105 682,0.0,nan,N/A,0.0,8885863.0,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,"178 William Street, Brisbane QLD 4000","219 Pitt Street, Canberra ACT 2600",0.0,(33) 1603 4563,(69) 6596 7238,0.0,nan,N/A,0.0,nan,N/A,0.8,INVOICE,TAX INVOICE,1.0,05/09/2025,05/09/2025,1.0,$3.35,$3.35,1.0,19/07/2025,19/07/2025,0.0,nan,N/A,0.0,"219 Pitt Street, Canberra ACT 2600","178 William Street, Brisbane QLD 4000",0.0,nan,N/A,0.0,Bill To,Sarah Johnson,0.0,(69) 6596 7238,(33) 1603 4563,0.0,"$3.20, $2.50, $6.80, $8.90",$3.20 | $2.50 | $6.80 | $8.90,0.0,"2, 1, 1, 2",2 | 1 | 1 | 2,0.0,nan,N/A,1.0,$33.50,$33.50,1.0,BDO Australia,BDO Australia,0.0,nan,N/A,1.0,$36.85,$36.85
