image_name,ABN,ACCOUNT_HOLDER,BANK_ACCOUNT_NUMBER,BANK_NAME,BSB_NUMBER,BUSINESS_ADDRESS,BUSINESS_PHONE,CLOSING_BALANCE,DESCRIPTIONS,DOCUMENT_TYPE,DUE_DATE,GST,INVOICE_DATE,OPENING_BALANCE,PAYER_ADDRESS,PAYER_EMAIL,PAYER_NAME,PAYER_PHONE,PRICES,QUANTITIES,STATEMENT_PERIOD,SUBTOTAL,SUPPLIER,SUPPLIER_WEBSITE,TOTAL
synthetic_invoice_001.png,04 904 754 234,N/A,1288570416,N/A,N/A,"396 Flinders Street, Adelaide SA 5000",(61) 4645 4054,N/A,"Rice 1kg, Cheese Block 500g, Frozen Peas 1kg, Dishwashing Liquid (500ml)",Invoice,05/09/2025,10%,04/08/2025,N/A,"501 Charlotte Street, Canberra ACT 2600",N/A,Sophie Martin,(06) 4744 4248,"$3.80, $8.50, $3.79","3, 3, 1",N/A,$53.29,Rydges Hotels,N/A,$58.62
synthetic_invoice_002.png,31 724 023 407,N/A,360376986,N/A,N/A,"561 Flinders Street, Perth WA 6000",(45) 7214 5884,N/A,"Onions 1kg, Onions 1kg, Bananas (kg), Milk 2L, Chicken Breast 1kg, Tomatoes 1kg",Invoice,05/09/2025,$8.86,01/08/2025,N/A,"46 King Street, Adelaide SA 5000",N/A,Emily Thompson,(09) 1205 7612,"$3.20, $3.20, $3.42, $4.80, $12.90","3, 1, 3, 3, 2",N/A,$88.56,Hilton Hotels,N/A,$97.42
synthetic_invoice_003.png,73 553 957 027,N/A,4194688,N/A,N/A,"910 Pitt Street, Adelaide SA 5000",(78) 9647 9117,N/A,"Potatoes 2kg, Carrots 1kg",Invoice,05/09/2025,$0.99,16/07/2025,N/A,"430 Pitt Street, Brisbane QLD 4000",N/A,Ava Rodriguez,(22) 1473 6412,"$4.90, $2.50","1, 2",N/A,$9.90,EY Australia,N/A,$10.89
synthetic_invoice_004.png,06 082 698 025,N/A,N/A,N/A,N/A,"481 Bourke Street, Perth WA 6000",(08) 4482 2347,N/A,"Car Wash, Coffee Large, Unleaded Petrol, Car Wash, Diesel",RECEIPT,05/08/2025,$8.62,05/08/2025,N/A,"243 Adelaide Street, Perth WA 6000",robert.taylor@yahoo.com.au,Robert Taylor,(08) 1414 6734,"$45.00, $4.50, $1.65, $30.00, $5.10","Car Wash, Coffee Large, Unleaded Petrol, Car Wash, Diesel",N/A,$86.25,Liberty Oil,libertyoil.com.au,$94.87
synthetic_invoice_005.png,298 483 258,N/A,N/A,N/A,N/A,"680 Collins Street, Darwin NT 0800",(02) 7877 3830,N/A,"Energy Drink, Premium Unleaded, Coffee Large, Car Wash, Premium Unleaded, Premium Unleaded",RECEIPT,N/A,$5.20,18/07/2025,N/A,"487 Collins Street, Hobart TAS 7000",sophie.martin@hotmail.com,Sophie Martin,(87) 3616 7911,"$4.20, $1.75, $4.50, $1.75","1, 2, 2, 2",N/A,$51.95,Ampol Limited,ampol.com.au,$57.15
synthetic_invoice_006.png,N/A,Sophie Martin,4577691,Commonwealth Bank,063140,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07/07/2025 to 06/08/2025,N/A,N/A,N/A,N/A
synthetic_invoice_007.png,66 658 925 499,N/A,N/A,N/A,N/A,"993 Pitt Street, Darwin NT 0800",(61) 9953 4315,N/A,"Premium Unleaded, Diesel, Unleaded Petrol",RECEIPT,N/A,$1.01,19/07/2025,N/A,"52 Bourke Street, Darwin NT 0800",william.harris@hotmail.com,William Harris,(61) 8953 4315,"$1.75, $3.40, $4.95","Premium Unleaded, Diesel, Unleaded Petrol",N/A,$10.10,Liberty Oil,libertyoil.com.au,$11.11
synthetic_invoice_008.png,N/A,Michael Brown,892069256,Suncorp Bank,703 123,N/A,N/A,N/A,"EFTPOS PURCHASE WOOLWORTH, REFUND PROCESSED, DIRECT CREDIT SALARY, INTEREST PAYMENT, EFTPOS PURCHASE WOOLWORTH, ONLINE PURCHASE NETFLIX, EFTPOS PURCHASE COLES EXP, REFUND PROCESSED",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07/07/2025 to 06/08/2025,N/A,N/A,N/A,N/A
synthetic_invoice_009.png,N/A,Olivia White,970590,National Australia Bank,083004,N/A,N/A,N/A,"03/05/2025 DIRECT CREDIT SALARY, 04/05/2025 DIRECT CREDIT SALARY, 05/05/2025 EFTPOS PURCHASE WOOLWORTH, 06/05/2025 ONLINE PURCHASE NETFLIX, 07/05/2025 EFTPOS PURCHASE WOOLWORTH, 08/05/2025 DIRECT CREDIT SALARY, 09/05/2025 DIRECT CREDIT SALARY, 10/05/2025 TRANSFER CREDIT TAX REFUN",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07/07/2025 to 06/08/2025,N/A,N/A,N/A,N/A
synthetic_invoice_010.png,40 613 105 682,N/A,8885863,N/A,N/A,"219 Pitt Street, Canberra ACT 2600",(69) 6596 7238,N/A,"Onions 1kg, Carrots 1kg, Yogurt 500g, Ground Beef 500g",Invoice,05/09/2025,$3.35,19/07/2025,N/A,"178 William Street, Brisbane QLD 4000",N/A,Sarah Johnson,(33) 1803 4563,"$3.20, $2.50, $6.80, $8.90","2, 1, 1, 2",N/A,$33.50,BDO Australia,N/A,$36.85
synthetic_invoice_011.png,61 555 924 470,N/A,1681141,N/A,N/A,"360 Flinders Street, Perth WA 6000",(21) 7917 9718,N/A,"Frozen Peas 1kg, Carrots 1kg, Cheese Block 500g",Invoice,05/09/2025,$1.94,25/07/2025,N/A,"815 King Street, Melbourne VIC 3000",N/A,Olivia White,(03) 6395 3018,"$4.20, $2.50, $8.50","2, 1, 1",N/A,$19.40,EY Australia,N/A,$21.34
synthetic_invoice_012.png,99 122 988 747,N/A,N/A,N/A,N/A,"509 Bourke Street, Perth WA 6000",(57) 47404 8049,N/A,"Ground Beef 500g, Apples (kg), Potatoes 2kg",RECEIPT,N/A,$2.17,02/08/2025,N/A,"333 Adelaide Street, Brisbane QLD 4000",james.anderson@gmail.com,James Anderson,(35) 6716 6435,"$8.90, $7.92, $4.90","Ground Beef 500g, Apples (kg), Potatoes 2kg",N/A,$21.72,The Good Guys,thegoodguys.com.au,$23.89
synthetic_invoice_013.png,N/A,Sophie Martin,748530949,Commonwealth Bank,063140,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07/07/2025 to 06/08/2025,N/A,N/A,N/A,N/A
synthetic_invoice_014.png,61 687 812 968,N/A,N/A,N/A,N/A,"10 Collins Street, Melbourne VIC 3000",(01) 3014 7085,N/A,"Ground Beef 500g, Potatoes 2kg, Tea Bags (box), Onions 1kg, Apples (kg)",RECEIPT,N/A,$5.38,12/07/2025,N/A,"478 Charlotte Street, Brisbane QLD 4000",ava.rodriguez@outlook.com,Ava Rodriguez,(86) 3979 2861,N/A,N/A,N/A,$53.77,JB Hi-Fi,jbhifi.com.au,$59.15
synthetic_invoice_015.png,97 492 312 203,N/A,N/A,N/A,N/A,"174 Collins Street, Canberra ACT 2600",(79) 7777 7841,N/A,"Bread Loaf, Bananas (kg), Bread Loaf",RECEIPT,N/A,$1.32,07/07/2025,N/A,"742 Queen Street, Hobart TAS 7000",daniel.garcia@bigpond.com,Daniel Garcia,(60) 7891 5420,"$3.20, $6.84","1, 2",N/A,$13.24,Bunnings Group Limited,bunnings.com.au,$14.56
synthetic_invoice_016.png,47 083 667 253,N/A,N/A,N/A,N/A,"443 George Street, Darwin NT 0800",(27) 1413 2204,N/A,"Energy Drink, Energy Drink, Unleaded Petrol, Premium Unleaded, Unleaded Petrol, Unleaded Petrol",RECEIPT,N/A,10%,10/07/2025,N/A,"186 Flinders Street, Brisbane QLD 4000",sophie.martin@outlook.com,Sophie Martin,(31) 9823 7713,"$4.20, $12.60, $4.95, $5.25, $4.95, $4.95","1, 3, 3, 3, 3, 3",N/A,$36.90,Mobil Australia,mobil.com.au,$40.59
synthetic_invoice_017.png,N/A,Olivia White,5449357013,ANZ Banking Group,012003,N/A,N/A,N/A,"DIRECT CREDIT SALARY, ONLINE PURCHASE NETFLIX, INTEREST PAYMENT, DIRECT CREDIT SALARY, INTEREST PAYMENT, DIRECT CREDIT SALARY, ATM WITHDRAWAL ANZ ATM, DIRECT CREDIT SALARY",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07/07/2025 to 06/08/2025,N/A,N/A,N/A,N/A
synthetic_invoice_018.png,70 341 963 178,N/A,N/A,N/A,N/A,"310 George Street, Brisbane QLD 4000",(07) 341 963 178,N/A,"Diesel, Coffee Large, Car Wash",RECEIPT,N/A,$6.19,02/08/2025,N/A,"630 Elizabeth Street, Hobart TAS 7000",jessica.davis@yahoo.com.au,Jessica Davis,(03) 9564 8768,"$1.70, $4.50, $15.00","2, 3, 3",N/A,$61.90,N/A,N/A,$68.09
