image_name,ABN_extracted,ABN_ground_truth,ABN_accuracy,ACCOUNT_HOLDER_extracted,ACCOUNT_HOLDER_ground_truth,ACCOUNT_HOLDER_accuracy,BANK_ACCOUNT_NUMBER_extracted,BANK_ACCOUNT_NUMBER_ground_truth,BANK_ACCOUNT_NUMBER_accuracy,BANK_NAME_extracted,BANK_NAME_ground_truth,BANK_NAME_accuracy,BSB_NUMBER_extracted,BSB_NUMBER_ground_truth,BSB_NUMBER_accuracy,BUSINESS_ADDRESS_extracted,BUSINESS_ADDRESS_ground_truth,BUSINESS_ADDRESS_accuracy,BUSINESS_PHONE_extracted,BUSINESS_PHONE_ground_truth,BUSINESS_PHONE_accuracy,CLOSING_BALANCE_extracted,CLOSING_BALANCE_ground_truth,CLOSING_BALANCE_accuracy,DESCRIPTIONS_extracted,DESCRIPTIONS_ground_truth,DESCRIPTIONS_accuracy,DOCUMENT_TYPE_extracted,DOCUMENT_TYPE_ground_truth,DOCUMENT_TYPE_accuracy,DUE_DATE_extracted,DUE_DATE_ground_truth,DUE_DATE_accuracy,GST_extracted,GST_ground_truth,GST_accuracy,INVOICE_DATE_extracted,INVOICE_DATE_ground_truth,INVOICE_DATE_accuracy,OPENING_BALANCE_extracted,OPENING_BALANCE_ground_truth,OPENING_BALANCE_accuracy,PAYER_ADDRESS_extracted,PAYER_ADDRESS_ground_truth,PAYER_ADDRESS_accuracy,PAYER_EMAIL_extracted,PAYER_EMAIL_ground_truth,PAYER_EMAIL_accuracy,PAYER_NAME_extracted,PAYER_NAME_ground_truth,PAYER_NAME_accuracy,PAYER_PHONE_extracted,PAYER_PHONE_ground_truth,PAYER_PHONE_accuracy,PRICES_extracted,PRICES_ground_truth,PRICES_accuracy,QUANTITIES_extracted,QUANTITIES_ground_truth,QUANTITIES_accuracy,STATEMENT_PERIOD_extracted,STATEMENT_PERIOD_ground_truth,STATEMENT_PERIOD_accuracy,SUBTOTAL_extracted,SUBTOTAL_ground_truth,SUBTOTAL_accuracy,SUPPLIER_extracted,SUPPLIER_ground_truth,SUPPLIER_accuracy,SUPPLIER_WEBSITE_extracted,SUPPLIER_WEBSITE_ground_truth,SUPPLIER_WEBSITE_accuracy,TOTAL_extracted,TOTAL_ground_truth,TOTAL_accuracy,overall_accuracy
synthetic_invoice_001.png,04 904 754 234,04 904 754 234,1.0,N/A,N/A,1.0,1288570416,N/A,0.0,N/A,N/A,1.0,N/A,N/A,1.0,"396 Flinders Street, Adelaide SA 5000","396 Flinders Street, Adelaide SA 5000",1.0,(61) 4645 4054,(61) 4645 4054,1.0,N/A,N/A,1.0,"Rice 1kg, Cheese Block 500g, Frozen Peas 1kg, Dishwashing Liquid (500ml)",N/A,0.0,Invoice,TAX INVOICE,0.8,05/09/2025,05/09/2025,1.0,10%,$5.33,0.0,04/08/2025,04/08/2025,1.0,N/A,N/A,1.0,"501 Charlotte Street, Canberra ACT 2600","501 Charlotte Street, Canberra ACT 2600",1.0,N/A,N/A,1.0,Sophie Martin,Sophie Martin,1.0,(06) 4744 4248,(66) 4744 4248,0.0,"$3.80, $8.50, $3.79",$3.80 | $8.50 | $4.20 | $3.79,0.0,"3, 3, 1",3 | 3 | 3 | 1,0.0,N/A,N/A,1.0,$53.29,$53.29,1.0,Rydges Hotels,Rydges Hotels,1.0,N/A,N/A,1.0,$58.62,$58.62,1.0,0.752
synthetic_invoice_002.png,31 724 023 407,31 724 023 407,1.0,N/A,N/A,1.0,360376986,N/A,0.0,N/A,N/A,1.0,N/A,N/A,1.0,"561 Flinders Street, Perth WA 6000","561 Flinders Street, Perth WA 6000",1.0,(45) 7214 5884,(45) 7214 5884,1.0,N/A,N/A,1.0,"Onions 1kg, Onions 1kg, Bananas (kg), Milk 2L, Chicken Breast 1kg, Tomatoes 1kg",N/A,0.0,Invoice,TAX INVOICE,0.8,05/09/2025,05/09/2025,1.0,$8.86,$8.86,1.0,01/08/2025,01/08/2025,1.0,N/A,N/A,1.0,"46 King Street, Adelaide SA 5000","46 King Street, Adelaide SA 5000",1.0,N/A,N/A,1.0,Emily Thompson,Emily Thompson,1.0,(09) 1205 7612,(69) 1205 7612,0.0,"$3.20, $3.20, $3.42, $4.80, $12.90",$3.20 | $3.20 | $3.42 | $4.80 | $12.90 | $6.20,0.0,"3, 1, 3, 3, 2",3 | 1 | 3 | 3 | 3 | 2,0.0,N/A,N/A,1.0,$88.56,$88.56,1.0,Hilton Hotels,Hilton Hotels,1.0,N/A,N/A,1.0,$97.42,$97.42,1.0,0.792
synthetic_invoice_003.png,73 553 957 027,73 553 957 027,1.0,N/A,N/A,1.0,4194688,N/A,0.0,N/A,N/A,1.0,N/A,N/A,1.0,"910 Pitt Street, Adelaide SA 5000","910 Pitt Street, Adelaide SA 5000",1.0,(78) 9647 9117,(78) 9647 9117,1.0,N/A,N/A,1.0,"Potatoes 2kg, Carrots 1kg",N/A,0.0,Invoice,TAX INVOICE,0.8,05/09/2025,05/09/2025,1.0,$0.99,$0.99,1.0,16/07/2025,16/07/2025,1.0,N/A,N/A,1.0,"430 Pitt Street, Brisbane QLD 4000","430 Pitt Street, Brisbane QLD 4000",1.0,N/A,N/A,1.0,Ava Rodriguez,Ava Rodriguez,1.0,(22) 1473 6412,(22) 1473 6412,1.0,"$4.90, $2.50",$4.90 | $2.50,0.0,"1, 2",1 | 2,0.0,N/A,N/A,1.0,$9.90,$9.90,1.0,EY Australia,EY Australia,1.0,N/A,N/A,1.0,$10.89,$10.89,1.0,0.8320000000000001
synthetic_invoice_004.png,06 082 698 025,06 082 698 025,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,"481 Bourke Street, Perth WA 6000","481 Bourke Street, Perth WA 6000",1.0,(08) 4482 2347,(38) 4482 2347,0.0,N/A,N/A,1.0,"Car Wash, Coffee Large, Unleaded Petrol, Car Wash, Diesel",N/A,0.0,RECEIPT,RECEIPT,1.0,05/08/2025,N/A,0.0,$8.62,$8.62,1.0,05/08/2025,05/08/2025,1.0,N/A,N/A,1.0,"243 Adelaide Street, Perth WA 6000","243 Adelaide Street, Perth WA 6000",1.0,robert.taylor@yahoo.com.au,robert.taylor@yahoo.com.au,1.0,Robert Taylor,Robert Taylor,1.0,(08) 1414 6734,(99) 1414 6734,0.0,"$45.00, $4.50, $1.65, $30.00, $5.10",$15.00 | $4.50 | $1.65 | $15.00 | $1.70,0.0,"Car Wash, Coffee Large, Unleaded Petrol, Car Wash, Diesel",3 | 1 | 1 | 2 | 3,0.0,N/A,N/A,1.0,$86.25,$86.25,1.0,Liberty Oil,Liberty Oil,1.0,libertyoil.com.au,libertyoil.com.au,1.0,$94.87,$94.87,1.0,0.76
synthetic_invoice_005.png,298 483 258,29 466 483 258,0.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,"680 Collins Street, Darwin NT 0800","680 Collins Street, Darwin NT 0800",1.0,(02) 7877 3830,(92) 7677 3830,0.0,N/A,N/A,1.0,"Energy Drink, Premium Unleaded, Coffee Large, Car Wash, Premium Unleaded, Premium Unleaded",N/A,0.0,RECEIPT,RECEIPT,1.0,N/A,N/A,1.0,$5.20,$5.20,1.0,18/07/2025,18/07/2025,1.0,N/A,N/A,1.0,"487 Collins Street, Hobart TAS 7000","467 Collins Street, Hobart TAS 7000",0.0,sophie.martin@hotmail.com,sophie.martin@hotmail.com,1.0,Sophie Martin,Sophie Martin,1.0,(87) 3616 7911,(87) 3616 7911,1.0,"$4.20, $1.75, $4.50, $1.75",$4.20 | $1.75 | $4.50 | $1.75 | $15.00 | $1.75,0.0,"1, 2, 2, 2",1 | 1 | 2 | 2 | 2 | 2,0.0,N/A,N/A,1.0,$51.95,$51.95,1.0,Ampol Limited,Ampol Limited,1.0,ampol.com.au,ampol.com.au,1.0,$57.15,$57.15,1.0,0.76
synthetic_invoice_006.png,N/A,N/A,1.0,Sophie Martin,Sophie Martin,1.0,4577691,4577691.0,0.8,Commonwealth Bank,Commonwealth Bank,1.0,063140,063 140,0.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,$14016.04,0.0,N/A,INTEREST PAYMENT | ONLINE TRANSFER | ATM WITHDRAWAL,0.0,N/A,BANK STATEMENT,0.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,$13655.47,0.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,07/07/2025 to 06/08/2025,07/07/2025 to 06/08/2025,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,0.792
synthetic_invoice_007.png,66 658 925 499,66 658 925 499,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,"993 Pitt Street, Darwin NT 0800","993 Pitt Street, Darwin NT 0800",1.0,(61) 9953 4315,(62) 9953 4315,0.0,N/A,N/A,1.0,"Premium Unleaded, Diesel, Unleaded Petrol",N/A,0.0,RECEIPT,RECEIPT,1.0,N/A,N/A,1.0,$1.01,$1.01,1.0,19/07/2025,19/07/2025,1.0,N/A,N/A,1.0,"52 Bourke Street, Darwin NT 0800","52 Bourke Street, Darwin NT 0800",1.0,william.harris@hotmail.com,william.harris@hotmail.com,1.0,William Harris,William Harris,1.0,(61) 8953 4315,(84) 9515 3158,0.0,"$1.75, $3.40, $4.95",$1.75 | $1.70 | $1.65,0.0,"Premium Unleaded, Diesel, Unleaded Petrol",1 | 2 | 3,0.0,N/A,N/A,1.0,$10.10,$10.10,1.0,Liberty Oil,Liberty Oil,1.0,libertyoil.com.au,libertyoil.com.au,1.0,$11.11,$11.11,1.0,0.8
synthetic_invoice_008.png,N/A,N/A,1.0,Michael Brown,Michael Brown,1.0,892069256,892069256.0,0.8,Suncorp Bank,Suncorp Bank,1.0,703 123,703 123,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,$35686.28,0.0,"EFTPOS PURCHASE WOOLWORTH, REFUND PROCESSED, DIRECT CREDIT SALARY, INTEREST PAYMENT, EFTPOS PURCHASE WOOLWORTH, ONLINE PURCHASE NETFLIX, EFTPOS PURCHASE COLES EXP, REFUND PROCESSED",ATM WITHDRAWAL | DIRECT DEBIT UTILITIES | EFTPOS PURCHASE | REFUND PROCESSED,0.0,N/A,BANK STATEMENT,0.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,$34980.66,0.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,07/07/2025 to 06/08/2025,07/07/2025 to 06/08/2025,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,0.8320000000000001
synthetic_invoice_009.png,N/A,N/A,1.0,Olivia White,Olivia White,1.0,970590,970590.0,0.8,National Australia Bank,National Australia Bank,1.0,083004,083004,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,$34539.69,0.0,"03/05/2025 DIRECT CREDIT SALARY, 04/05/2025 DIRECT CREDIT SALARY, 05/05/2025 EFTPOS PURCHASE WOOLWORTH, 06/05/2025 ONLINE PURCHASE NETFLIX, 07/05/2025 EFTPOS PURCHASE WOOLWORTH, 08/05/2025 DIRECT CREDIT SALARY, 09/05/2025 DIRECT CREDIT SALARY, 10/05/2025 TRANSFER CREDIT TAX REFUN",ONLINE TRANSFER | FEE CHARGED | DIRECT CREDIT SALARY | EFTPOS PURCHASE | INTEREST PAYMENT | ATM WITHDRAWAL,0.0,N/A,BANK STATEMENT,0.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,$33162.83,0.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,07/07/2025 to 06/08/2025,07/07/2025 to 06/08/2025,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,1.0,0.8320000000000001
synthetic_invoice_010.png,40 613 105 682,40 613 105 682,1.0,N/A,N/A,1.0,8885863,N/A,0.0,N/A,N/A,1.0,N/A,N/A,1.0,"219 Pitt Street, Canberra ACT 2600","219 Pitt Street, Canberra ACT 2600",1.0,(69) 6596 7238,(69) 6596 7238,1.0,N/A,N/A,1.0,"Onions 1kg, Carrots 1kg, Yogurt 500g, Ground Beef 500g",N/A,0.0,Invoice,TAX INVOICE,0.8,05/09/2025,05/09/2025,1.0,$3.35,$3.35,1.0,19/07/2025,19/07/2025,1.0,N/A,N/A,1.0,"178 William Street, Brisbane QLD 4000","178 William Street, Brisbane QLD 4000",1.0,N/A,N/A,1.0,Sarah Johnson,Sarah Johnson,1.0,(33) 1803 4563,(33) 1603 4563,0.0,"$3.20, $2.50, $6.80, $8.90",$3.20 | $2.50 | $6.80 | $8.90,0.0,"2, 1, 1, 2",2 | 1 | 1 | 2,0.0,N/A,N/A,1.0,$33.50,$33.50,1.0,BDO Australia,BDO Australia,1.0,N/A,N/A,1.0,$36.85,$36.85,1.0,0.792
