image_file,DOCUMENT_TYPE,SUPPLIER,ABN,PAYER_NAME,PAYER_ADDRESS,PAYER_PHONE,PAYER_EMAIL,INVOICE_DATE,DUE_DATE,GST,TOTAL,SUBTOTAL,SUPPLIER_WEBSITE,QUANTITIES,PRICES,BUSINESS_ADDRESS,BUSINESS_PHONE,BANK_NAME,BSB_NUMBER,BANK_ACCOUNT_NUMBER,ACCOUNT_HOLDER,STATEMENT_PERIOD,OPENING_BALANCE,CLOSING_BALANCE,DESCRIPTIONS
synthetic_invoice_001.png,BANK STATEMENT,The Good Guys,04 485 897 014,Emily Thompson,"610 King Street, Hobart TAS 7000",(83) 1966 3427,emily.thompson@bigpond.com,15/07/2025,29/08/2025,$1.82,$20.02,$18.20,shell.com.au,2 | 2,$2.90 | $6.20,"417 Collins Street, Perth WA 6000",(81) 5730 6606,Bendigo Bank,633-000,979265,Emily Thompson,30/06/2025 to 30/07/2025,$15834.92,$17196.71,CARD PAYMENT | FEE CHARGED | DEPOSIT | ATM WITHDRAWAL | INTEREST PAYMENT | DIRECT DEBIT UTILITIES
synthetic_invoice_002.png,RECEIPT,SPOTLIGHT,76 254 444 159,Sophie Martin,"113 Charlotte Street, Adelaide SA 5000",(65) 8196 7273,sophie.martin@bigpond.com,23/07/2025,29/08/2025,$7.62,$83.81,$76.19,officeworks.com.au,3 | 1 | 3 | 2 | 3,$4.71 | $3.96 | $12.90 | $4.90 | $3.20,"8 Flinders Street, Melbourne VIC 3000",(54) 1802 1479,Commonwealth Bank,062692,9035719793,David Miller,30/06/2025 to 30/07/2025,$36677.81,$37854.92,EFTPOS PURCHASE | FEE CHARGED | CARD PAYMENT | DIRECT DEBIT UTILITIES | DEPOSIT
synthetic_invoice_003.png,RECEIPT,JB Hi-Fi,64 842 873 224,Isabella Lee,"320 Flinders Street, Canberra ACT 2600",(93) 5700 7441,isabella.lee@yahoo.com.au,28/07/2025,29/08/2025,$1.70,$18.70,$17.00,jbhifi.com.au,1 | 1,$8.50 | $8.50,"894 Collins Street, Hobart TAS 7000",(95) 5503 4232,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_004.png,BANK STATEMENT,SPOTLIGHT,34 417 032 524,Sarah Johnson,"133 Pitt Street, Brisbane QLD 4000",(31) 3373 4193,sarah.johnson@gmail.com,01/07/2025,29/08/2025,$3.95,$43.48,$39.53,coles.com.au,2 | 2 | 3 | 3,$3.20 | $3.20 | $4.71 | $4.20,"265 Collins Street, Brisbane QLD 4000",(40) 3906 1913,National Australia Bank,083 004,2161426,Jessica Davis,30/06/2025 to 30/07/2025,$9803.76,$11227.18,REFUND PROCESSED | ONLINE TRANSFER | DIRECT CREDIT SALARY
synthetic_invoice_005.png,RECEIPT,JB Hi-Fi,19 783 199 802,Emma Wilson,"120 Elizabeth Street, Perth WA 6000",(78) 8986 1533,emma.wilson@hotmail.com,06/07/2025,29/08/2025,$2.97,$32.65,$29.68,ampol.com.au,2 | 3,$8.90 | $3.96,"272 Pitt Street, Melbourne VIC 3000",(22) 2856 5355,Suncorp Bank,703-123,7294329,William Harris,30/06/2025 to 30/07/2025,$41475.32,$42213.40,DEPOSIT | ATM WITHDRAWAL | DIRECT DEBIT UTILITIES
synthetic_invoice_006.png,RECEIPT,ALDI Australia,68 193 211 741,Sophie Martin,"276 Elizabeth Street, Sydney NSW 2000",(28) 6924 6620,sophie.martin@hotmail.com,18/07/2025,29/08/2025,$2.34,$25.74,$23.40,caltex.com.au,1 | 3,$4.80 | $6.20,"488 Flinders Street, Hobart TAS 7000",(56) 6717 4223,Commonwealth Bank,062 692,227536304,Robert Taylor,30/06/2025 to 30/07/2025,$45433.20,$45134.52,REFUND PROCESSED | FEE CHARGED | ONLINE TRANSFER | EFTPOS PURCHASE | ATM WITHDRAWAL | DIRECT DEBIT UTILITIES
synthetic_invoice_007.png,RECEIPT,Kmart Australia,16 570 985 082,Sarah Johnson,"177 Elizabeth Street, Perth WA 6000",(98) 5390 3221,sarah.johnson@yahoo.com.au,19/07/2025,29/08/2025,$4.12,$45.36,$41.24,caltex.com.au,1 | 2 | 2 | 3,$3.96 | $3.80 | $8.90 | $3.96,"552 Bourke Street, Perth WA 6000",(66) 6252 6648,Commonwealth Bank,064-000,609145,James Anderson,30/06/2025 to 30/07/2025,$19694.32,$21013.51,FEE CHARGED | CARD PAYMENT | DIRECT CREDIT SALARY | DEPOSIT | DIRECT DEBIT UTILITIES | REFUND PROCESSED
synthetic_invoice_008.png,RECEIPT,The Good Guys,72 211 604 319,Sarah Johnson,"271 Adelaide Street, Perth WA 6000",(90) 3560 3984,sarah.johnson@bigpond.com,12/07/2025,29/08/2025,$5.32,$58.48,$53.16,bp.com,2 | 3 | 1 | 2,$8.50 | $6.20 | $8.50 | $4.53,"216 Collins Street, Canberra ACT 2600",(99) 9709 6647,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_009.png,BANK STATEMENT,Kmart Australia,83 054 027 712,Daniel Garcia,"246 Pitt Street, Perth WA 6000",(40) 8677 3467,daniel.garcia@outlook.com,22/07/2025,29/08/2025,$1.90,$20.88,$18.98,bp.com,3 | 2,$3.80 | $3.79,"583 Bourke Street, Melbourne VIC 3000",(84) 8937 3200,Bendigo Bank,633 000,136791,Emma Wilson,30/06/2025 to 30/07/2025,$10646.23,$10623.79,CARD PAYMENT | REFUND PROCESSED | ATM WITHDRAWAL | DIRECT DEBIT UTILITIES
synthetic_invoice_010.png,RECEIPT,JB Hi-Fi,66 088 183 735,Olivia White,"88 Queen Street, Hobart TAS 7000",(87) 7532 3234,olivia.white@gmail.com,25/07/2025,29/08/2025,$3.57,$39.29,$35.72,caltex.com.au,3 | 2 | 1 | 1 | 2,$3.42 | $2.50 | $2.90 | $3.96 | $6.80,"673 Bourke Street, Darwin NT 0800",(79) 6386 6406,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
